# DEX Latency Histogram (nanoseconds)
# Total ops: 5000000
# Avg: 1660.93 ns
# P50: 500 ns, P90: 5000 ns, P95: 7500 ns, P99: 13500 ns, P99.9: 19000 ns
# latency_ns	count
0	1651216
500	1296221
1000	529075
1500	238182
2000	169194
2500	151184
3000	153208
3500	114453
4000	69202
4500	91167
5000	96331
5500	61895
6000	40912
6500	36811
7000	33198
7500	26224
8000	19943
8500	18002
9000	20663
9500	22935
10000	22806
10500	19706
11000	15774
11500	12706
12000	10858
12500	9950
13000	9647
13500	9188
14000	8754
14500	7548
15000	6296
15500	4828
16000	3811
16500	3135
17000	2739
17500	2552
18000	2131
18500	1778
19000	1439
19500	1101
20000	748
20500	601
21000	403
21500	306
22000	260
22500	234
23000	191
23500	135
24000	102
24500	70
25000	40
25500	28
26000	17
26500	14
27000	8
27500	8
28000	9
28500	6
29000	12
29500	7
30000	4
30500	6
31000	1
31500	1
32000	2
32500	4
33000	2
33500	2
34000	2
34500	3
35000	1
35500	1
36000	1
36500	2
37500	1
38000	1
39000	1
41500	1
43500	1
45000	1
