# DEX Latency Histogram - Range (nanoseconds)
# Total ops: 1500618
# Avg: 4009.41 ns
# P50: 2000 ns, P90: 10000 ns, P95: 12500 ns, P99: 17000 ns, P99.9: 21500 ns
# latency_ns	count
500	53380
1000	318237
1500	235166
2000	151028
2500	114642
3000	75519
3500	40754
4000	27242
4500	29941
5000	38837
5500	37669
6000	35329
6500	35814
7000	33862
7500	27907
8000	20686
8500	17665
9000	19776
9500	22602
10000	22928
10500	20374
11000	16524
11500	13180
12000	11099
12500	9921
13000	9527
13500	9411
14000	8997
14500	7906
15000	6485
15500	5281
16000	3958
16500	3299
17000	2848
17500	2591
18000	2246
18500	1873
19000	1538
19500	1155
20000	875
20500	584
21000	456
21500	326
22000	279
22500	230
23000	185
23500	144
24000	110
24500	59
25000	41
25500	25
26000	18
26500	20
27000	11
27500	9
28000	7
28500	7
29000	2
29500	4
30000	3
30500	5
31000	2
31500	3
32000	2
32500	3
33000	3
33500	2
34500	1
35000	1
38500	1
39000	1
43500	2
