# CHIME Latency Histogram - Range
# Bucket size: 500 ns
# Total samples: 1500000
# Format: latency_ns	count
53000	1
53500	2
55000	1
56500	1
57500	1
58500	1
59000	2
60500	4
61000	2
61500	4
62000	4
62500	4
63000	10
63500	9
64000	6
64500	6
65000	11
65500	12
66000	12
66500	16
67000	16
67500	18
68000	15
68500	23
69000	24
69500	23
70000	26
70500	33
71000	40
71500	40
72000	44
72500	40
73000	40
73500	66
74000	59
74500	76
75000	57
75500	64
76000	56
76500	71
77000	84
77500	87
78000	90
78500	93
79000	97
79500	111
80000	132
80500	130
81000	113
81500	130
82000	120
82500	152
83000	168
83500	159
84000	167
84500	146
85000	167
85500	175
86000	189
86500	197
87000	192
87500	199
88000	215
88500	228
89000	214
89500	255
90000	243
90500	250
91000	243
91500	270
92000	270
92500	297
93000	317
93500	331
94000	312
94500	337
95000	358
95500	309
96000	382
96500	408
97000	363
97500	376
98000	412
98500	424
99000	402
99500	400
100000	438
100500	435
101000	459
101500	473
102000	470
102500	456
103000	471
103500	495
104000	538
104500	544
105000	537
105500	543
106000	576
106500	540
107000	581
107500	574
108000	599
108500	615
109000	587
109500	595
110000	602
110500	632
111000	568
111500	648
112000	647
112500	666
113000	640
113500	659
114000	682
114500	697
115000	654
115500	739
116000	692
116500	702
117000	678
117500	664
118000	691
118500	647
119000	634
119500	652
120000	712
120500	682
121000	661
121500	696
122000	708
122500	723
123000	716
123500	725
124000	745
124500	722
125000	689
125500	714
126000	710
126500	683
127000	718
127500	723
128000	736
128500	772
129000	725
129500	730
130000	731
130500	696
131000	779
131500	746
132000	750
132500	735
133000	791
133500	786
134000	721
134500	777
135000	779
135500	763
136000	785
136500	719
137000	783
137500	750
138000	792
138500	824
139000	788
139500	797
140000	781
140500	794
141000	840
141500	817
142000	843
142500	836
143000	782
143500	862
144000	830
144500	860
145000	814
145500	848
146000	879
146500	828
147000	913
147500	838
148000	860
148500	851
149000	870
149500	883
150000	876
150500	880
151000	908
151500	887
152000	868
152500	889
153000	846
153500	878
154000	849
154500	924
155000	903
155500	932
156000	932
156500	907
157000	911
157500	945
158000	926
158500	946
159000	931
159500	950
160000	1020
160500	986
161000	980
161500	999
162000	985
162500	1009
163000	1025
163500	978
164000	938
164500	1011
165000	942
165500	952
166000	1023
166500	975
167000	1058
167500	983
168000	1012
168500	923
169000	1022
169500	962
170000	998
170500	990
171000	957
171500	1046
172000	996
172500	947
