# CHIME Latency Histogram - Read
# Bucket size: 500 ns
# Total samples: 21000000
# Format: latency_ns	count
1500	1
3500	3
4000	542
4500	17323
5000	153325
5500	578328
6000	1221369
6500	1755640
7000	2004902
7500	1963793
8000	1810523
8500	1594219
9000	1359207
9500	1162429
10000	968433
10500	806961
11000	670901
11500	545331
12000	453384
12500	371492
13000	304988
13500	252039
14000	206972
14500	172374
15000	143246
15500	120300
16000	103195
16500	86793
17000	75447
17500	66686
18000	58665
18500	53702
19000	49382
19500	45658
20000	43086
20500	40432
21000	38924
21500	37674
22000	36236
22500	35985
23000	34148
23500	34421
24000	33466
24500	32888
25000	33241
25500	33014
26000	32371
26500	32461
27000	31787
27500	32331
28000	31645
28500	31375
29000	31940
29500	30974
30000	31046
30500	30752
31000	30241
31500	29946
32000	29484
32500	28928
33000	28998
33500	28453
34000	28172
34500	27402
35000	26952
35500	26366
36000	25709
36500	25267
37000	24771
37500	24081
38000	23646
38500	22782
39000	22110
39500	21665
40000	20821
40500	20255
41000	19219
41500	18576
42000	17988
42500	16986
43000	16298
43500	15745
44000	14796
44500	14084
45000	13237
45500	12528
46000	11785
46500	10868
47000	10461
47500	9725
48000	9116
48500	8568
49000	7919
49500	7235
50000	6593
50500	6124
51000	5833
51500	5271
52000	4802
52500	4417
53000	4263
53500	3879
54000	3596
54500	3351
55000	3066
55500	2881
56000	2776
56500	2591
57000	2437
57500	2294
58000	2203
58500	2044
59000	2023
59500	1915
60000	1965
60500	1799
61000	1730
61500	1634
62000	1619
62500	1594
63000	1519
63500	1443
64000	1468
64500	1483
65000	1365
65500	1413
66000	1306
66500	1315
67000	1208
67500	1222
68000	1285
68500	1172
69000	1253
69500	1179
70000	1135
70500	1070
71000	1087
71500	1028
72000	1092
72500	1044
73000	1067
73500	1000
74000	946
74500	967
75000	936
75500	917
76000	894
76500	896
77000	869
77500	869
78000	937
78500	902
79000	790
79500	806
80000	819
80500	830
81000	835
81500	755
82000	768
82500	793
83000	758
83500	761
84000	765
84500	708
85000	777
85500	722
86000	714
86500	746
87000	739
87500	741
88000	706
88500	756
89000	713
89500	719
90000	802
90500	730
91000	716
91500	718
92000	718
92500	707
93000	712
93500	758
94000	732
94500	724
95000	750
95500	716
96000	716
96500	768
97000	769
97500	721
98000	789
98500	735
99000	781
99500	809
100000	766
100500	804
101000	763
101500	785
102000	785
102500	754
103000	814
103500	813
104000	820
104500	863
105000	836
105500	870
106000	857
106500	855
107000	899
107500	874
108000	857
108500	909
109000	869
109500	886
110000	860
110500	925
111000	888
111500	930
112000	895
112500	879
113000	979
113500	928
114000	958
114500	924
115000	960
115500	984
116000	939
116500	1033
117000	976
117500	1010
118000	1024
118500	1012
119000	957
119500	1010
120000	952
120500	1027
121000	1024
121500	977
122000	1022
122500	1073
123000	997
123500	1080
124000	1003
124500	1051
125000	1075
125500	1036
126000	1029
126500	1033
127000	1032
127500	1077
128000	1105
128500	1092
129000	1055
129500	1022
130000	1089
130500	1049
131000	1095
131500	1045
132000	1032
132500	1096
133000	1042
133500	1095
134000	1037
134500	1089
135000	1041
135500	999
136000	1024
136500	1048
137000	1079
137500	1102
138000	1066
138500	998
139000	1081
139500	1003
140000	1018
140500	1012
141000	1044
141500	1066
142000	1031
142500	1001
143000	1010
143500	1023
144000	1062
144500	1058
145000	958
145500	1008
146000	967
146500	971
147000	967
147500	945
148000	936
148500	970
149000	909
149500	1017
150000	937
150500	932
151000	989
151500	910
152000	977
152500	945
153000	967
153500	944
154000	932
154500	946
155000	935
155500	947
156000	878
156500	874
157000	919
157500	903
158000	886
158500	858
159000	829
159500	891
160000	823
160500	827
161000	886
161500	803
162000	815
162500	813
163000	816
163500	789
164000	787
164500	764
165000	760
165500	737
166000	749
166500	725
167000	765
167500	764
168000	700
168500	701
169000	686
169500	657
170000	698
170500	678
171000	676
171500	673
172000	652
172500	702
173000	623
173500	612
174000	636
174500	629
175000	632
175500	615
176000	595
176500	622
177000	527
177500	619
178000	534
178500	539
179000	543
179500	574
180000	516
180500	559
181000	483
181500	508
182000	478
182500	504
183000	511
183500	492
184000	466
184500	472
185000	457
185500	474
186000	433
186500	478
187000	447
187500	451
188000	433
188500	401
189000	424
189500	387
190000	397
190500	395
191000	381
191500	375
192000	326
192500	392
193000	343
193500	330
194000	333
194500	331
195000	328
195500	308
196000	346
196500	279
197000	297
197500	308
198000	273
198500	263
199000	296
199500	272
200000	294
200500	246
201000	231
201500	213
202000	255
202500	240
203000	257
203500	243
204000	217
204500	202
205000	221
205500	205
206000	216
206500	212
207000	193
207500	178
208000	205
208500	178
209000	187
209500	175
210000	168
210500	169
211000	149
211500	154
212000	130
212500	152
213000	180
213500	147
214000	139
214500	139
215000	116
215500	115
216000	127
216500	112
217000	120
217500	129
218000	107
218500	111
219000	110
219500	112
220000	109
220500	120
221000	92
221500	104
222000	101
222500	96
223000	87
223500	81
224000	84
224500	85
225000	68
225500	76
226000	77
226500	69
227000	82
227500	67
228000	59
228500	70
229000	58
229500	78
230000	64
230500	72
231000	59
231500	62
232000	57
232500	42
233000	51
233500	70
234000	61
234500	45
235000	45
235500	44
236000	27
236500	38
237000	45
237500	31
238000	43
238500	30
239000	48
239500	45
240000	23
240500	32
241000	29
241500	23
242000	33
242500	37
243000	30
243500	33
244000	25
244500	25
245000	19
245500	30
246000	20
246500	19
247000	19
247500	19
248000	26
248500	25
249000	17
249500	19
250000	18
250500	17
251000	15
251500	18
252000	15
252500	17
253000	21
253500	15
254000	13
254500	17
255000	19
255500	11
256000	10
256500	16
257000	15
257500	12
258000	7
258500	9
259000	7
259500	16
260000	9
260500	9
261000	11
261500	13
262000	16
262500	5
263000	9
263500	11
264000	8
264500	6
265000	6
265500	6
266000	7
266500	3
267000	3
267500	3
268000	1
268500	6
269000	10
269500	7
270000	6
271000	6
271500	3
272500	4
273000	3
273500	2
274000	3
274500	2
275000	6
275500	4
276000	4
276500	6
277000	4
278000	2
278500	2
279000	9
279500	1
280000	3
280500	2
281000	3
281500	3
282000	4
282500	2
283000	4
283500	3
284500	1
285000	2
285500	2
286000	1
286500	2
287000	1
287500	4
288000	2
288500	1
289500	2
290000	3
291000	3
291500	3
292000	2
293000	1
293500	1
294000	3
294500	1
296000	3
296500	2
297000	1
297500	1
298500	1
299000	1
299500	2
300000	2
302000	1
303000	1
303500	1
304000	1
305000	1
308000	2
309000	2
312500	1
315500	1
318000	2
319000	1
322000	1
324000	1
326000	1
326500	1
330500	1
335000	1
344500	1
347500	2
348000	2
357500	1
