# CHIME Latency Histogram - Range
# Bucket size: 500 ns
# Total samples: 1500000
# Format: latency_ns	count
36500	2
37000	1
37500	10
38000	9
38500	18
39000	12
39500	24
40000	21
40500	18
41000	21
41500	24
42000	25
42500	32
43000	20
43500	15
44000	23
44500	18
45000	18
45500	19
46000	33
46500	37
47000	49
47500	56
48000	87
48500	84
49000	104
49500	109
50000	108
50500	135
51000	177
51500	210
52000	214
52500	225
53000	241
53500	271
54000	261
54500	237
55000	278
55500	292
56000	298
56500	363
57000	332
57500	409
58000	412
58500	431
59000	406
59500	442
60000	447
60500	520
61000	526
61500	565
62000	614
62500	654
63000	651
63500	672
64000	646
64500	671
65000	723
65500	770
66000	844
66500	879
67000	828
67500	896
68000	954
68500	1003
69000	1026
69500	1070
70000	1147
70500	1234
71000	1282
71500	1308
72000	1341
72500	1433
73000	1392
73500	1483
74000	1498
74500	1531
75000	1502
75500	1486
76000	1475
76500	1548
77000	1560
77500	1507
78000	1615
78500	1571
79000	1609
79500	1613
80000	1619
80500	1650
81000	1658
81500	1744
82000	1689
82500	1788
83000	1853
83500	1975
84000	1900
84500	1879
85000	1880
85500	2028
86000	2085
86500	2068
87000	2080
87500	2136
88000	2167
88500	2224
89000	2221
89500	2307
90000	2251
90500	2489
91000	2393
91500	2443
92000	2471
92500	2538
93000	2545
93500	2562
94000	2585
94500	2682
95000	2628
95500	2744
96000	2611
96500	2748
97000	2808
97500	2801
98000	2792
98500	2819
99000	2889
99500	2906
100000	2911
100500	3028
101000	2895
101500	2991
102000	2942
102500	2992
103000	3118
103500	2991
104000	2992
104500	3058
105000	3002
105500	3083
106000	3148
106500	3089
107000	3187
107500	3167
108000	3106
108500	3202
109000	3216
109500	3115
110000	3250
110500	3143
111000	3229
111500	3273
112000	3242
112500	3312
113000	3300
113500	3314
114000	3266
114500	3335
115000	3295
115500	3304
116000	3341
116500	3378
117000	3409
117500	3363
118000	3386
118500	3298
119000	3431
119500	3398
120000	3270
120500	3331
121000	3369
121500	3289
122000	3281
122500	3323
123000	3149
123500	3303
124000	3269
124500	3182
125000	3209
125500	3150
126000	3224
126500	3069
127000	3187
127500	3145
128000	3112
128500	3047
129000	3128
129500	3056
130000	2989
130500	2947
131000	3048
131500	2939
132000	2926
132500	2932
133000	2951
133500	2773
134000	2949
134500	2849
135000	2810
135500	2824
136000	2824
136500	2711
137000	2724
137500	2787
138000	2721
138500	2689
139000	2663
139500	2605
140000	2666
140500	2585
141000	2627
141500	2698
142000	2669
142500	2624
143000	2590
143500	2587
144000	2500
144500	2433
145000	2535
145500	2545
146000	2427
146500	2396
147000	2443
147500	2453
148000	2411
148500	2367
149000	2363
149500	2387
150000	2378
150500	2358
151000	2338
151500	2190
152000	2225
152500	2278
153000	2219
153500	2239
154000	2288
154500	2106
155000	2129
155500	2134
156000	2160
156500	2097
157000	2104
157500	2117
158000	1966
158500	2052
159000	1980
159500	1972
160000	1971
160500	1961
161000	1969
161500	1910
162000	1880
162500	1892
163000	1887
163500	1899
164000	1838
164500	1819
165000	1789
165500	1756
166000	1756
166500	1802
167000	1797
167500	1701
168000	1706
168500	1652
169000	1671
169500	1650
170000	1694
170500	1730
171000	1703
171500	1714
172000	1592
172500	1609
173000	1555
173500	1623
174000	1557
174500	1585
175000	1575
175500	1612
176000	1555
176500	1510
177000	1568
177500	1519
178000	1444
178500	1499
179000	1542
179500	1453
180000	1447
180500	1482
181000	1521
181500	1486
182000	1538
182500	1441
183000	1459
183500	1421
184000	1446
184500	1487
185000	1424
185500	1406
186000	1467
186500	1474
187000	1430
187500	1406
188000	1401
188500	1432
189000	1439
189500	1379
190000	1458
190500	1406
191000	1451
191500	1446
192000	1385
192500	1424
193000	1430
193500	1435
194000	1378
194500	1471
195000	1438
195500	1482
196000	1461
196500	1484
197000	1439
197500	1383
198000	1439
198500	1426
199000	1448
199500	1543
200000	1408
200500	1454
201000	1500
201500	1485
202000	1584
202500	1453
203000	1448
203500	1499
204000	1525
204500	1509
205000	1536
205500	1606
206000	1451
206500	1485
207000	1515
207500	1468
208000	1553
208500	1450
209000	1558
209500	1513
210000	1498
210500	1549
211000	1608
211500	1534
212000	1563
212500	1545
213000	1596
213500	1582
214000	1582
214500	1627
215000	1555
215500	1702
216000	1566
216500	1608
217000	1687
217500	1630
218000	1776
218500	1602
219000	1671
219500	1651
220000	1644
220500	1597
221000	1616
221500	1625
222000	1687
222500	1676
223000	1651
223500	1720
224000	1693
224500	1676
225000	1775
225500	1769
226000	1799
226500	1788
227000	1802
227500	1793
228000	1740
228500	1777
229000	1805
229500	1742
230000	1802
230500	1813
231000	1749
231500	1757
232000	1833
232500	1838
233000	1797
233500	1809
234000	1864
234500	1835
235000	1836
235500	1760
236000	1897
236500	1980
237000	1881
237500	1892
238000	2003
238500	1953
239000	1901
239500	1943
240000	1941
240500	1992
241000	1901
241500	1996
242000	1940
242500	2018
243000	1933
243500	1958
244000	1955
244500	2051
245000	2028
245500	2059
246000	1991
246500	1997
247000	2062
247500	1965
248000	2076
248500	2090
249000	2110
249500	2078
250000	2073
250500	2015
251000	2118
251500	1992
252000	2074
252500	2153
253000	2159
253500	2120
254000	2097
254500	2097
255000	2126
255500	2163
256000	2132
256500	2096
257000	2173
257500	2177
258000	2220
258500	2163
259000	2165
259500	2326
260000	2183
260500	2205
261000	2277
261500	2123
262000	2244
262500	2141
263000	2173
263500	2233
264000	2312
264500	2185
265000	2296
265500	2333
266000	2234
266500	2225
267000	2214
267500	2314
268000	2274
268500	2337
269000	2298
269500	2291
270000	2295
270500	2347
271000	2229
271500	2240
272000	2307
272500	2281
273000	2341
273500	2312
274000	2390
274500	2343
275000	2272
275500	2334
276000	2399
276500	2280
277000	2259
277500	2278
278000	2278
278500	2272
279000	2369
279500	2333
280000	2418
280500	2467
281000	2346
281500	2304
282000	2256
282500	2341
283000	2376
283500	2386
284000	2334
284500	2421
285000	2434
285500	2464
286000	2421
286500	2457
287000	2336
287500	2371
288000	2363
288500	2370
289000	2343
289500	2323
290000	2364
290500	2342
291000	2343
