# CHIME Latency Histogram - Read
# Bucket size: 500 ns
# Total samples: 21000000
# Format: latency_ns	count
500	31
1000	791
1500	1087
2000	1460
2500	1644
3000	2024
3500	7922
4000	53426
4500	235710
5000	569378
5500	1072079
6000	1585774
6500	1910254
7000	2117179
7500	1958393
8000	1811592
8500	1581522
9000	1279437
9500	1118961
10000	883136
10500	718283
11000	599613
11500	453731
12000	380969
12500	297171
13000	231712
13500	195677
14000	148156
14500	123585
15000	100826
15500	78924
16000	69874
16500	56045
17000	49141
17500	44003
18000	37226
18500	36273
19000	32680
19500	30450
20000	30354
20500	27094
21000	27470
21500	27065
22000	25428
22500	27262
23000	25485
23500	25706
24000	26135
24500	24228
25000	26036
25500	24929
26000	24348
26500	25749
27000	23625
27500	24543
28000	24274
28500	23139
29000	24330
29500	22485
30000	22669
30500	22825
31000	20902
31500	21636
32000	20522
32500	19543
33000	20213
33500	18255
34000	18388
34500	17851
35000	16494
35500	16681
36000	14904
36500	15082
37000	14406
37500	13151
38000	13359
38500	11943
39000	11546
39500	11082
40000	9887
40500	10024
41000	9238
41500	8425
42000	8388
42500	7315
43000	7178
43500	6551
44000	5823
44500	5930
45000	5194
45500	4958
46000	4633
46500	3941
47000	4057
47500	3638
48000	3330
48500	3302
49000	2786
49500	2825
50000	2549
50500	2306
51000	2320
51500	2095
52000	1982
52500	1885
53000	1635
53500	1670
54000	1553
54500	1487
55000	1500
55500	1384
56000	1398
56500	1239
57000	1153
57500	1247
58000	1178
58500	1114
59000	1131
59500	1017
60000	1069
60500	1020
61000	992
61500	919
62000	859
62500	939
63000	925
63500	877
64000	859
64500	823
65000	797
65500	793
66000	759
66500	725
67000	760
67500	725
68000	734
68500	647
69000	743
69500	713
70000	635
70500	679
71000	681
71500	665
72000	648
72500	620
73000	646
73500	629
74000	675
74500	698
75000	624
75500	670
76000	635
76500	646
77000	668
77500	581
78000	621
78500	639
79000	582
79500	606
80000	568
80500	594
81000	582
81500	573
82000	582
82500	587
83000	583
83500	598
84000	557
84500	599
85000	587
85500	598
86000	608
86500	596
87000	574
87500	573
88000	604
88500	629
89000	583
89500	597
90000	618
90500	600
91000	603
91500	633
92000	588
92500	614
93000	582
93500	604
94000	628
94500	566
95000	652
95500	571
96000	589
96500	638
97000	620
97500	615
98000	639
98500	620
99000	603
99500	639
100000	652
100500	595
101000	593
101500	661
102000	619
102500	647
103000	620
103500	624
104000	656
104500	595
105000	646
105500	614
106000	571
106500	619
107000	613
107500	619
108000	622
108500	618
109000	599
109500	577
110000	593
110500	608
111000	587
111500	590
112000	615
112500	615
113000	600
113500	624
114000	614
114500	637
115000	570
115500	561
116000	588
116500	636
117000	613
117500	601
118000	606
118500	533
119000	585
119500	579
120000	561
120500	549
121000	565
121500	507
122000	559
122500	574
123000	546
123500	529
124000	549
124500	495
125000	548
125500	492
126000	555
126500	526
127000	530
127500	506
128000	506
128500	509
129000	546
129500	475
130000	515
130500	500
131000	483
131500	478
132000	492
132500	477
133000	439
133500	483
134000	500
134500	462
135000	454
135500	434
136000	498
136500	455
137000	450
137500	460
138000	420
138500	446
139000	443
139500	413
140000	443
140500	423
141000	434
141500	447
142000	433
142500	396
143000	433
143500	375
144000	383
144500	410
145000	353
145500	356
146000	362
146500	400
147000	367
147500	359
148000	355
148500	350
149000	344
149500	345
150000	332
150500	325
151000	302
151500	308
152000	299
152500	282
153000	306
153500	305
154000	281
154500	261
155000	284
155500	293
156000	294
156500	248
157000	295
157500	273
158000	280
158500	221
159000	247
159500	277
160000	308
160500	253
161000	270
161500	237
162000	271
162500	230
163000	223
163500	238
164000	189
164500	231
165000	212
165500	228
166000	226
166500	189
167000	181
167500	225
168000	168
168500	197
169000	183
169500	190
170000	236
170500	188
171000	188
171500	187
172000	159
172500	151
173000	143
173500	161
174000	175
174500	148
175000	142
175500	142
176000	142
176500	132
177000	137
177500	107
178000	127
178500	109
179000	118
179500	120
180000	121
180500	116
181000	115
181500	116
182000	121
182500	140
183000	92
183500	94
184000	86
184500	101
185000	88
185500	96
186000	98
186500	104
187000	78
187500	79
188000	101
188500	80
189000	89
189500	79
190000	55
190500	78
191000	64
191500	97
192000	77
192500	63
193000	74
193500	67
194000	66
194500	52
195000	67
195500	61
196000	54
196500	49
197000	50
197500	44
198000	51
198500	52
199000	39
199500	40
200000	43
200500	57
201000	44
201500	36
202000	51
202500	36
203000	28
203500	41
204000	31
204500	28
205000	32
205500	39
206000	31
206500	41
207000	38
207500	22
208000	22
208500	32
209000	34
209500	22
210000	22
210500	30
211000	30
211500	17
212000	20
212500	25
213000	23
213500	22
214000	20
214500	20
215000	27
215500	11
216000	9
216500	20
217000	16
217500	22
218000	11
218500	18
219000	22
219500	14
220000	16
220500	13
221000	14
221500	14
222000	17
222500	10
223000	18
223500	11
224000	8
224500	12
225000	12
225500	11
226000	9
226500	10
227000	6
227500	8
228000	13
228500	8
229000	8
229500	8
230000	5
230500	4
231000	11
231500	5
232000	7
232500	7
233000	7
233500	5
234000	6
234500	5
235000	3
235500	3
236000	6
236500	2
237000	6
237500	8
238000	2
238500	7
239000	6
239500	3
240000	2
240500	1
241000	3
241500	1
242000	5
242500	2
243000	5
243500	8
244000	5
244500	3
245000	3
245500	2
246000	4
246500	2
247500	2
248000	2
248500	2
249000	2
249500	2
250000	5
250500	3
251000	3
251500	4
252000	1
252500	2
253000	2
253500	4
254000	3
254500	3
255000	1
256000	2
256500	2
257000	2
257500	1
258500	1
259500	1
260000	1
260500	1
261500	2
262000	1
263000	1
267000	2
269500	2
270500	1
271000	1
271500	1
272000	1
274000	1
275000	1
275500	2
291500	1
303500	1
590500	1
