# DEX Latency Histogram - Range (nanoseconds)
# Total ops: 1499290
# Avg: 7169.18 ns
# P50: 6500 ns, P90: 13000 ns, P95: 14500 ns, P99: 18000 ns, P99.9: 22000 ns
# latency_ns	count
500	57
1000	622
1500	17906
2000	107656
2500	126333
3000	92182
3500	48843
4000	34455
4500	48929
5000	74018
5500	76380
6000	74468
6500	78413
7000	74748
7500	59558
8000	44047
8500	41242
9000	51167
9500	60260
10000	59463
10500	49431
11000	38311
11500	29592
12000	25438
12500	23705
13000	24010
13500	23677
14000	22547
14500	18720
15000	14455
15500	10763
16000	8611
16500	7298
17000	6593
17500	5876
18000	4985
18500	3889
19000	2852
19500	2019
20000	1436
20500	1010
21000	800
21500	673
22000	519
22500	389
23000	294
23500	193
24000	147
24500	70
25000	45
25500	29
26000	33
26500	15
27000	17
27500	7
28000	16
28500	6
29000	6
29500	13
30000	11
30500	5
31000	3
32000	4
32500	6
33000	4
33500	1
34500	2
35000	2
35500	1
36000	2
36500	1
37500	1
38000	1
38500	1
39000	1
41000	1
41500	1
46000	1
52000	1
54000	1
61000	1
65000	1
