# DEX Latency Histogram - Read (nanoseconds)
# Total ops: 3500710
# Avg: 1566.67 ns
# P50: 500 ns, P90: 4500 ns, P95: 5000 ns, P99: 5500 ns, P99.9: 6000 ns
# latency_ns	count
0	161346
500	1859579
1000	382550
1500	25751
2000	40545
2500	88888
3000	211969
3500	209849
4000	112380
4500	166653
5000	161942
5500	64685
6000	11513
6500	1262
7000	302
7500	246
8000	233
8500	193
9000	139
9500	105
10000	58
10500	46
11000	37
11500	42
12000	48
12500	38
13000	40
13500	39
14000	40
14500	33
15000	21
15500	33
16000	14
16500	10
17000	17
17500	9
18000	8
18500	5
19000	6
19500	5
20000	3
20500	7
21000	5
21500	2
22000	6
22500	1
23000	1
24000	2
24500	1
25000	1
25500	1
39500	1
