# DEX Latency Histogram - Range (nanoseconds)
# Total ops: 9001408
# Avg: 7947.42 ns
# P50: 7000 ns, P90: 14500 ns, P95: 16500 ns, P99: 20500 ns, P99.9: 25000 ns
# latency_ns	count
0	2
500	222
1000	9324
1500	70369
2000	352928
2500	699136
3000	634176
3500	451460
4000	270796
4500	212535
5000	277484
5500	377851
6000	405348
6500	392253
7000	388603
7500	380091
8000	345930
8500	294351
9000	254630
9500	247969
10000	269983
10500	289933
11000	287937
11500	262056
12000	224114
12500	189677
13000	161233
13500	143944
14000	134222
14500	127696
15000	121031
15500	112100
16000	100322
16500	85933
17000	71553
17500	58974
18000	49749
18500	42304
19000	36856
19500	32331
20000	27319
20500	22826
21000	18560
21500	14623
22000	11135
22500	8996
23000	6748
23500	5370
24000	4285
24500	3384
25000	2665
25500	2059
26000	1463
26500	1178
27000	799
27500	582
28000	392
28500	273
29000	220
29500	148
30000	113
30500	106
31000	81
31500	59
32000	50
32500	68
33000	38
33500	33
34000	33
34500	36
35000	24
35500	32
36000	16
36500	16
37000	14
37500	18
38000	15
38500	13
39000	12
39500	13
40000	11
40500	6
41000	11
41500	7
42000	13
42500	8
43000	7
43500	8
44000	10
44500	7
45000	9
45500	6
46000	6
46500	4
47000	6
47500	2
48000	6
48500	2
49000	6
49500	4
50500	2
51000	3
51500	2
52000	1
52500	2
53000	2
53500	3
54000	3
55000	1
55500	1
56000	2
56500	2
57000	1
57500	2
58000	2
58500	1
59000	2
59500	1
60500	1
62000	1
63000	1
65000	1
66500	1
67000	1
69000	1
69500	1
72000	1
73000	2
73500	1
75000	2
76500	1
