# DEX Latency Histogram - Read (nanoseconds)
# Total ops: 3500829
# Avg: 1511.37 ns
# P50: 500 ns, P90: 4500 ns, P95: 5000 ns, P99: 5500 ns, P99.9: 6000 ns
# latency_ns	count
0	201506
500	1889682
1000	371742
1500	25472
2000	42128
2500	83909
3000	178995
3500	202371
4000	115252
4500	146940
5000	154922
5500	70569
6000	13855
6500	1599
7000	324
7500	233
8000	202
8500	195
9000	166
9500	138
10000	93
10500	83
11000	47
11500	44
12000	36
12500	43
13000	35
13500	35
14000	30
14500	26
15000	23
15500	24
16000	14
16500	16
17000	9
17500	12
18000	10
18500	8
19000	8
19500	3
20000	6
20500	4
21500	4
22000	3
22500	1
23000	3
23500	2
24000	2
24500	1
28500	1
40500	1
42500	1
46500	1
