# CHIME Latency Histogram - Range
# Bucket size: 500 ns
# Total samples: 9000000
# Format: latency_ns	count
51000	2
51500	2
52000	3
52500	1
53000	1
53500	2
54000	6
54500	3
55000	4
55500	11
56000	5
56500	8
57000	9
57500	4
58000	16
58500	14
59000	20
59500	15
60000	28
60500	20
61000	30
61500	34
62000	43
62500	45
63000	57
63500	56
64000	56
64500	77
65000	74
65500	98
66000	88
66500	106
67000	115
67500	101
68000	103
68500	142
69000	140
69500	152
70000	167
70500	153
71000	149
71500	180
72000	159
72500	178
73000	187
73500	207
74000	211
74500	180
75000	210
75500	191
76000	198
76500	189
77000	225
77500	217
78000	215
78500	206
79000	231
79500	221
80000	238
80500	218
81000	200
81500	230
82000	183
82500	235
83000	198
83500	217
84000	226
84500	210
85000	233
85500	225
86000	214
86500	228
87000	198
87500	210
88000	215
88500	220
89000	199
89500	222
90000	238
90500	276
91000	253
91500	255
92000	249
92500	283
93000	261
93500	293
94000	289
94500	296
95000	296
95500	277
96000	304
96500	338
97000	295
97500	320
98000	311
98500	355
99000	338
99500	362
100000	364
100500	357
101000	381
101500	359
102000	370
102500	413
103000	366
103500	362
104000	356
104500	394
105000	394
105500	458
106000	474
106500	431
107000	420
107500	455
108000	442
108500	466
109000	442
109500	459
110000	511
110500	467
111000	485
111500	502
112000	502
112500	479
113000	534
113500	520
114000	521
114500	507
115000	568
115500	530
116000	536
116500	562
117000	563
117500	539
118000	564
118500	599
119000	582
119500	603
120000	583
120500	563
121000	603
121500	607
122000	653
122500	647
123000	620
123500	676
124000	665
124500	694
125000	693
125500	757
126000	748
126500	740
127000	707
127500	753
128000	749
128500	783
129000	784
129500	861
130000	820
130500	836
131000	846
131500	900
132000	890
132500	822
133000	898
133500	922
134000	933
134500	996
135000	979
135500	1014
136000	1024
136500	1114
137000	1110
137500	1100
138000	1107
138500	1137
139000	1190
139500	1206
140000	1153
140500	1236
141000	1205
141500	1270
142000	1308
142500	1332
143000	1295
143500	1357
144000	1403
144500	1484
145000	1480
145500	1525
146000	1531
146500	1531
147000	1592
147500	1634
148000	1673
148500	1676
149000	1736
149500	1836
150000	1859
150500	1869
151000	1899
151500	1908
152000	1963
152500	2036
153000	2100
153500	2091
154000	2112
154500	2160
155000	2126
155500	2245
156000	2265
156500	2365
157000	2361
157500	2406
158000	2484
158500	2457
159000	2556
159500	2536
160000	2587
160500	2646
161000	2794
161500	2765
162000	2790
162500	2928
163000	2909
163500	2946
164000	3035
164500	2999
165000	3121
165500	3244
166000	3170
166500	3206
167000	3362
167500	3400
168000	3403
168500	3469
169000	3463
169500	3545
170000	3602
170500	3651
171000	3655
171500	3736
172000	3801
172500	3818
173000	3970
173500	3965
174000	3994
174500	4002
175000	3997
175500	4178
176000	4143
176500	4323
177000	4219
177500	4390
178000	4440
178500	4509
179000	4511
179500	4633
180000	4549
180500	4556
181000	4632
181500	4635
182000	4779
182500	4691
183000	4743
183500	4974
184000	5032
184500	5011
185000	4897
185500	5003
186000	5117
186500	4939
187000	5272
187500	5208
188000	5159
188500	5455
189000	5265
189500	5458
190000	5473
190500	5402
191000	5406
191500	5631
192000	5673
192500	5527
193000	5654
193500	5671
194000	5669
194500	5728
195000	5815
195500	5874
196000	5677
196500	5858
197000	5857
197500	5993
198000	5884
198500	5898
199000	5915
199500	5900
200000	5950
200500	6012
201000	5964
201500	6073
202000	6044
202500	5999
203000	5989
203500	6127
204000	6093
204500	5980
205000	6163
205500	6147
206000	6106
206500	6186
207000	6303
207500	6184
208000	6074
208500	6124
209000	6146
209500	6242
210000	6228
210500	6204
211000	6206
211500	6245
212000	6235
212500	6151
213000	6213
213500	6197
214000	6150
214500	6176
215000	6173
215500	6103
216000	6205
216500	6128
217000	6222
217500	5973
218000	6019
218500	5973
219000	6101
219500	5953
220000	6012
220500	5970
221000	5998
221500	5997
222000	5948
222500	5948
223000	5870
223500	5925
224000	5854
224500	5866
225000	5947
225500	5815
226000	5728
226500	5887
227000	5729
227500	5717
228000	5598
228500	5701
229000	5749
229500	5617
230000	5518
230500	5523
231000	5553
231500	5515
232000	5381
232500	5442
233000	5261
233500	5340
234000	5161
234500	5316
235000	5251
235500	5221
236000	5139
236500	5074
237000	5219
237500	5031
238000	5131
238500	5055
239000	4985
239500	4981
240000	4808
240500	4705
241000	4774
241500	4848
242000	4680
242500	4740
243000	4601
243500	4535
244000	4545
244500	4565
245000	4529
245500	4525
246000	4436
246500	4259
247000	4318
247500	4320
248000	4234
248500	4267
249000	4252
249500	4111
250000	4157
250500	4097
251000	4090
251500	4109
252000	4012
252500	3931
253000	3888
253500	3803
254000	3811
254500	3837
255000	3657
255500	3738
256000	3709
256500	3590
257000	3678
257500	3598
258000	3583
258500	3399
259000	3519
259500	3433
260000	3381
260500	3450
261000	3342
261500	3266
262000	3289
262500	3280
263000	3166
263500	3170
264000	3100
264500	3256
265000	3067
265500	3159
266000	3051
266500	2978
267000	2923
267500	2960
268000	2894
268500	2806
269000	2743
269500	2850
270000	2867
270500	2857
271000	2809
271500	2772
272000	2804
272500	2696
273000	2695
273500	2620
274000	2554
