# CHIME Latency Histogram - Read
# Bucket size: 500 ns
# Total samples: 30000000
# Format: latency_ns	count
500	1
1000	24
1500	70
2000	115
2500	95
3000	145
3500	191
4000	2975
4500	47287
5000	368187
5500	1707308
6000	4553578
6500	6753335
7000	6158028
7500	3922418
8000	2105908
8500	1156405
9000	701519
9500	465898
10000	329474
10500	255073
11000	216588
11500	192297
12000	170251
12500	150254
13000	129799
13500	111737
14000	94941
14500	79367
15000	65328
15500	52186
16000	42080
16500	33527
17000	26343
17500	21051
18000	16488
18500	13132
19000	10505
19500	8223
20000	6504
20500	5359
21000	4033
21500	3252
22000	2453
22500	2017
23000	1676
23500	1334
24000	1114
24500	920
25000	763
25500	654
26000	545
26500	469
27000	439
27500	353
28000	357
28500	305
29000	280
29500	252
30000	239
30500	247
31000	237
31500	196
32000	182
32500	182
33000	137
33500	122
34000	172
34500	140
35000	117
35500	134
36000	117
36500	112
37000	114
37500	97
38000	98
38500	81
39000	83
39500	69
40000	80
40500	71
41000	80
41500	70
42000	57
42500	52
43000	65
43500	54
44000	50
44500	53
45000	48
45500	42
46000	47
46500	52
47000	43
47500	43
48000	45
48500	42
49000	35
49500	35
50000	44
50500	40
51000	23
51500	27
52000	25
52500	20
53000	26
53500	24
54000	20
54500	21
55000	22
55500	16
56000	20
56500	24
57000	23
57500	17
58000	8
58500	15
59000	14
59500	12
60000	15
60500	6
61000	13
61500	10
62000	9
62500	15
63000	10
63500	4
64000	13
64500	5
65000	8
65500	10
66000	9
66500	6
67000	5
67500	6
68000	7
68500	2
69000	5
69500	4
70000	6
70500	4
71000	1
71500	5
72000	3
72500	3
73000	3
73500	1
74000	3
74500	2
75000	1
75500	2
76500	1
77000	1
78500	2
79000	2
79500	1
80000	1
80500	2
81000	3
81500	2
82000	2
82500	1
83000	5
83500	3
84000	4
84500	1
85000	2
85500	1
86000	5
86500	4
87000	3
88000	5
88500	2
89000	3
89500	7
90000	4
90500	2
91500	3
92000	4
92500	2
93500	6
94000	2
94500	4
95000	4
95500	1
96000	3
96500	2
97000	5
97500	3
98000	2
98500	2
99000	7
99500	3
100000	3
100500	3
101000	4
101500	5
102000	4
102500	3
103000	7
103500	1
104000	7
104500	4
105000	4
105500	6
106000	3
107000	3
107500	2
108000	3
108500	3
109000	4
109500	2
110000	1
110500	6
111500	1
112500	1
115000	1
115500	2
116500	1
117000	1
122500	1
143500	1
189500	1
194000	1
196000	1
224500	1
