# CHIME Latency Histogram - Range
# Bucket size: 500 ns
# Total samples: 9000000
# Format: latency_ns	count
36000	1
39500	1
40500	1
41000	1
41500	2
42000	2
42500	2
43000	4
43500	4
44000	3
44500	2
45000	9
45500	8
46000	4
46500	8
47000	7
47500	12
48000	13
48500	15
49000	19
49500	23
50000	21
50500	26
51000	30
51500	38
52000	33
52500	35
53000	38
53500	63
54000	64
54500	59
55000	53
55500	73
56000	65
56500	89
57000	82
57500	112
58000	115
58500	111
59000	120
59500	164
60000	155
60500	192
61000	212
61500	187
62000	224
62500	236
63000	271
63500	307
64000	343
64500	314
65000	365
65500	370
66000	399
66500	375
67000	466
67500	520
68000	474
68500	561
69000	555
69500	598
70000	669
70500	697
71000	708
71500	741
72000	823
72500	823
73000	856
73500	889
74000	966
74500	1076
75000	1106
75500	1086
76000	1167
76500	1239
77000	1333
77500	1261
78000	1279
78500	1425
79000	1473
79500	1492
80000	1538
80500	1572
81000	1558
81500	1728
82000	1717
82500	1736
83000	1850
83500	1856
84000	1901
84500	2004
85000	1971
85500	2094
86000	2033
86500	2101
87000	2116
87500	2202
88000	2281
88500	2319
89000	2368
89500	2407
90000	2386
90500	2417
91000	2483
91500	2632
92000	2625
92500	2727
93000	2641
93500	2728
94000	2804
94500	2809
95000	2886
95500	2928
96000	2966
96500	3025
97000	2969
97500	3234
98000	3090
98500	3138
99000	3269
99500	3181
100000	3244
100500	3326
101000	3404
101500	3342
102000	3367
102500	3385
103000	3417
103500	3453
104000	3458
104500	3558
105000	3592
105500	3620
106000	3535
106500	3796
107000	3671
107500	3685
108000	3552
108500	3682
109000	3743
109500	3732
110000	3723
110500	3839
111000	3784
111500	3693
112000	3823
112500	3827
113000	3734
113500	3893
114000	3903
114500	3992
115000	3870
115500	3927
116000	3973
116500	3998
117000	3955
117500	4047
118000	4085
118500	4077
119000	4232
119500	4198
120000	4192
120500	4209
121000	4213
121500	4280
122000	4321
122500	4266
123000	4387
123500	4346
124000	4462
124500	4484
125000	4432
125500	4511
126000	4577
126500	4472
127000	4653
127500	4598
128000	4625
128500	4693
129000	4773
129500	4784
130000	4784
130500	4912
131000	4807
131500	4881
132000	5037
132500	4998
133000	5006
133500	5065
134000	5052
134500	5206
135000	5198
135500	5182
136000	5133
136500	5293
137000	5334
137500	5430
138000	5608
138500	5549
139000	5555
139500	5650
140000	5834
140500	5632
141000	5758
141500	5802
142000	5744
142500	5845
143000	5799
143500	5954
144000	5958
144500	5953
145000	6143
145500	6082
146000	6252
146500	6230
147000	6332
147500	6309
148000	6461
148500	6504
149000	6499
149500	6337
150000	6676
150500	6541
151000	6768
151500	6696
152000	6722
152500	6715
153000	6757
153500	6868
154000	6902
154500	6903
155000	7043
155500	7190
156000	7111
156500	7163
157000	7189
157500	7285
158000	7326
158500	7478
159000	7576
159500	7436
160000	7413
160500	7612
161000	7533
161500	7611
162000	7641
162500	7676
163000	7817
163500	7857
164000	7722
164500	7798
165000	7987
165500	7947
166000	7956
166500	7896
167000	7956
167500	8178
168000	8081
168500	8113
169000	8166
169500	8122
170000	8381
170500	8177
171000	8293
171500	8242
172000	8437
172500	8314
173000	8379
173500	8489
174000	8371
174500	8480
175000	8463
175500	8460
176000	8321
176500	8503
177000	8401
177500	8593
178000	8492
178500	8581
179000	8690
179500	8570
180000	8575
180500	8494
181000	8463
181500	8425
182000	8494
182500	8532
183000	8392
183500	8359
184000	8457
184500	8624
185000	8614
185500	8485
186000	8272
186500	8480
187000	8423
187500	8333
188000	8500
188500	8401
189000	8412
189500	8632
190000	8395
190500	8391
191000	8441
191500	8269
192000	8421
192500	8343
193000	8364
193500	8062
194000	8236
194500	8338
195000	8174
195500	8130
196000	8168
196500	8095
197000	8228
197500	7898
198000	8108
198500	7875
199000	8012
199500	7945
200000	7902
200500	7876
201000	7930
201500	7838
202000	7756
202500	7812
203000	7849
203500	7790
204000	7769
204500	7633
205000	7601
205500	7387
206000	7521
206500	7562
207000	7538
207500	7328
208000	7466
208500	7386
209000	7341
209500	7350
210000	7160
210500	7211
211000	7115
211500	7134
212000	7139
212500	7088
213000	6928
213500	7100
214000	6965
214500	6914
215000	6823
215500	6878
216000	6774
216500	6696
217000	6847
217500	6792
218000	6657
218500	6577
219000	6523
219500	6388
220000	6410
220500	6307
221000	6283
221500	6386
222000	6305
222500	6251
223000	6305
223500	6214
224000	6153
224500	5934
225000	6004
225500	5936
226000	5983
226500	5776
227000	5934
227500	5950
228000	5867
228500	5735
229000	5512
229500	5767
230000	5633
230500	5576
231000	5608
231500	5539
232000	5657
232500	5364
233000	5418
233500	5459
234000	5331
234500	5252
235000	5265
235500	5201
236000	5261
236500	5259
237000	5152
237500	5111
238000	5044
238500	5029
239000	5023
239500	4966
240000	5005
240500	4894
241000	4768
241500	4779
242000	4779
242500	4709
243000	4679
243500	4738
244000	4656
244500	4680
245000	4505
245500	4495
246000	4507
246500	4510
247000	4416
247500	4517
248000	4437
248500	4392
249000	4317
249500	4290
250000	4306
250500	4244
251000	4326
251500	4209
252000	4248
252500	4233
253000	4112
253500	4091
254000	4080
254500	4103
255000	3952
255500	4102
256000	4010
256500	3936
257000	3940
257500	3878
258000	4004
258500	3851
259000	3970
259500	3760
260000	3849
260500	3833
261000	3808
261500	3812
262000	3680
262500	3780
263000	3708
263500	3829
264000	3690
264500	3753
265000	3619
265500	3754
266000	3654
266500	3700
267000	3542
267500	3683
268000	3608
268500	3618
269000	3630
269500	3601
270000	3545
270500	3416
271000	3569
271500	3587
272000	3520
272500	3528
273000	3467
273500	3481
274000	3476
274500	3450
275000	3535
275500	3411
276000	3478
276500	3424
277000	3375
277500	3496
278000	3402
278500	3387
279000	3474
279500	3525
280000	3345
280500	3485
281000	3352
281500	3408
282000	3233
282500	3309
283000	3408
283500	3346
284000	3428
284500	3296
285000	3393
285500	3371
286000	3429
286500	3217
287000	3331
287500	3314
288000	3304
288500	3428
289000	3312
289500	3440
290000	3337
290500	3328
291000	3387
291500	3392
292000	3357
292500	3443
293000	3302
293500	3312
294000	3452
294500	3291
295000	3381
295500	3310
296000	3362
296500	3421
297000	3493
297500	3394
298000	3381
298500	3395
299000	3366
299500	3403
300000	3538
300500	3383
301000	3425
301500	3433
302000	3482
302500	3365
303000	3426
303500	3426
304000	3387
304500	3338
