# DEX Latency Histogram - Range (nanoseconds)
# Total ops: 9003802
# Avg: 8076.75 ns
# P50: 7500 ns, P90: 14500 ns, P95: 16500 ns, P99: 20500 ns, P99.9: 25000 ns
# latency_ns	count
500	133
1000	1965
1500	45511
2000	306475
2500	655753
3000	606576
3500	434251
4000	262861
4500	208986
5000	281068
5500	386345
6000	412433
6500	400102
7000	401879
7500	395283
8000	359468
8500	302246
9000	259359
9500	255612
10000	286620
10500	311971
11000	306864
11500	273268
12000	230502
12500	190892
13000	163041
13500	146089
14000	138353
14500	132931
15000	127109
15500	117146
16000	103629
16500	86837
17000	70646
17500	57526
18000	48313
18500	42127
19000	36685
19500	31757
20000	27104
20500	22146
21000	17498
21500	13398
22000	10273
22500	7793
23000	6196
23500	4754
24000	3736
24500	2959
25000	2477
25500	1817
26000	1320
26500	919
27000	652
27500	457
28000	307
28500	214
29000	150
29500	113
30000	101
30500	90
31000	63
31500	44
32000	43
32500	40
33000	40
33500	42
34000	30
34500	30
35000	29
35500	24
36000	21
36500	20
37000	25
37500	13
38000	11
38500	12
39000	10
39500	8
40000	10
40500	11
41000	7
41500	12
42000	7
42500	6
43000	8
43500	6
44000	3
44500	8
45000	12
45500	6
46000	8
46500	1
47000	6
47500	2
48000	6
48500	5
49000	2
49500	3
50000	5
50500	1
51000	5
51500	4
52000	2
52500	4
53000	3
53500	6
54000	3
54500	1
55000	6
55500	3
56000	1
56500	1
57000	3
57500	3
58000	1
58500	3
59000	3
60000	4
60500	1
62500	3
63000	1
64000	2
65500	1
66000	1
69000	1
70000	1
70500	3
74000	1
74500	1
79000	1
81500	1
84500	1
92000	1
