# DEX Latency Histogram - Read (nanoseconds)
# Total ops: 20996198
# Avg: 1808.64 ns
# P50: 1000 ns, P90: 5000 ns, P95: 5500 ns, P99: 6500 ns, P99.9: 7500 ns
# latency_ns	count
0	507619
500	8992207
1000	4367775
1500	598642
2000	164326
2500	279574
3000	727231
3500	1325595
4000	968087
4500	613908
5000	831677
5500	830357
6000	483349
6500	196307
7000	67878
7500	22289
8000	8204
8500	3491
9000	2028
9500	1276
10000	943
10500	618
11000	476
11500	347
12000	260
12500	195
13000	165
13500	143
14000	110
14500	88
15000	104
15500	83
16000	76
16500	75
17000	59
17500	65
18000	47
18500	43
19000	35
19500	38
20000	31
20500	28
21000	30
21500	28
22000	13
22500	21
23000	12
23500	15
24000	22
24500	9
25000	14
25500	8
26000	8
26500	7
27000	8
27500	13
28000	13
28500	9
29000	5
29500	1
30000	6
30500	4
31000	8
31500	6
32000	4
32500	3
33000	6
33500	4
34000	2
34500	3
35000	2
35500	1
36000	5
36500	2
37000	2
37500	2
38000	4
38500	1
39000	1
39500	2
40000	3
40500	1
41500	3
42000	2
42500	3
43000	1
43500	2
44000	2
45500	1
46000	1
47000	1
47500	3
48000	2
48500	3
49000	2
49500	1
53000	2
53500	1
55000	2
56000	2
56500	1
58500	1
59500	1
62000	1
63500	1
70000	2
