# DEX Latency Histogram - Read (nanoseconds)
# Total ops: 20998698
# Avg: 1456.86 ns
# P50: 500 ns, P90: 4500 ns, P95: 5500 ns, P99: 6500 ns, P99.9: 7500 ns
# latency_ns	count
0	2338591
500	9475239
1000	3743248
1500	486211
2000	140396
2500	233811
3000	562209
3500	993971
4000	739386
4500	449682
5000	581403
5500	602825
6000	381687
6500	168834
7000	62768
7500	21278
8000	7770
8500	3245
9000	1742
9500	1049
10000	726
10500	453
11000	315
11500	244
12000	195
12500	154
13000	139
13500	120
14000	96
14500	98
15000	82
15500	84
16000	67
16500	43
17000	52
17500	54
18000	30
18500	38
19000	28
19500	28
20000	23
20500	23
21000	20
21500	18
22000	21
22500	16
23000	13
23500	12
24000	12
24500	5
25000	11
25500	12
26000	8
26500	8
27000	3
27500	8
28000	6
28500	5
29000	6
29500	4
30000	3
30500	2
31000	7
31500	3
32000	3
32500	2
33000	5
33500	1
34000	3
34500	3
35000	2
35500	3
36000	1
37000	1
38000	2
38500	2
39500	1
40000	2
40500	1
42500	4
43000	1
44000	2
45500	2
46500	1
47500	1
48500	4
49000	3
49500	3
50000	1
51500	1
56000	1
56500	1
61500	1
