# DEX Latency Histogram - Range (nanoseconds)
# Total ops: 9002013
# Avg: 4836.7 ns
# P50: 3000 ns, P90: 12000 ns, P95: 15000 ns, P99: 20000 ns, P99.9: 25000 ns
# latency_ns	count
500	102632
1000	1030130
1500	1338663
2000	1124621
2500	899156
3000	632813
3500	411361
4000	249550
4500	170233
5000	166969
5500	196141
6000	206248
6500	196566
7000	183461
7500	172948
8000	162975
8500	146363
9000	128409
9500	115294
10000	110479
10500	111695
11000	114091
11500	110735
12000	102261
12500	91727
13000	80707
13500	71032
14000	63340
14500	57492
15000	53023
15500	50400
16000	46799
16500	42850
17000	38558
17500	33603
18000	28686
18500	24460
19000	20853
19500	18103
20000	16030
20500	14013
21000	12095
21500	10112
22000	8580
22500	7115
23000	5904
23500	4713
24000	3679
24500	3063
25000	2466
25500	1899
26000	1614
26500	1249
27000	967
27500	721
28000	580
28500	437
29000	314
29500	237
30000	175
30500	144
31000	99
31500	67
32000	47
32500	37
33000	36
33500	28
34000	22
34500	20
35000	20
35500	10
36000	12
36500	10
37000	7
37500	9
38000	8
38500	7
39000	2
39500	1
40000	3
40500	3
41000	1
41500	3
42000	1
42500	2
43000	3
43500	2
44000	2
44500	1
45000	1
45500	1
46000	3
46500	2
47000	1
47500	2
49500	1
50000	1
57500	2
66000	1
68500	1
