# CHIME Latency Histogram - Range
# Bucket size: 500 ns
# Total samples: 9000000
# Format: latency_ns	count
50000	1
50500	1
52500	1
53000	1
54000	2
54500	1
55500	1
56500	2
57000	1
57500	2
58000	2
58500	5
59000	9
59500	8
60000	9
60500	8
61000	6
61500	10
62000	13
62500	15
63000	16
63500	27
64000	17
64500	15
65000	13
65500	29
66000	26
66500	28
67000	31
67500	39
68000	51
68500	51
69000	66
69500	66
70000	60
70500	66
71000	71
71500	90
72000	78
72500	65
73000	70
73500	77
74000	110
74500	105
75000	96
75500	126
76000	112
76500	116
77000	103
77500	135
78000	142
78500	135
79000	132
79500	118
80000	176
80500	161
81000	144
81500	168
82000	176
82500	182
83000	181
83500	206
84000	213
84500	191
85000	222
85500	223
86000	243
86500	248
87000	260
87500	273
88000	259
88500	277
89000	276
89500	287
90000	319
90500	317
91000	319
91500	318
92000	336
92500	377
93000	354
93500	371
94000	377
94500	419
95000	424
95500	400
96000	400
96500	450
97000	462
97500	478
98000	452
98500	494
99000	486
99500	487
100000	474
100500	525
101000	535
101500	574
102000	552
102500	589
103000	545
103500	550
104000	577
104500	567
105000	591
105500	590
106000	611
106500	602
107000	552
107500	572
108000	631
108500	594
109000	622
109500	642
110000	653
110500	632
111000	677
111500	637
112000	684
112500	655
113000	659
113500	719
114000	697
114500	730
115000	730
115500	725
116000	661
116500	689
117000	728
117500	788
118000	698
118500	743
119000	703
119500	763
120000	700
120500	796
121000	759
121500	764
122000	790
122500	774
123000	823
123500	774
124000	837
124500	803
125000	821
125500	819
126000	936
126500	801
127000	911
127500	876
128000	897
128500	937
129000	893
129500	911
130000	905
130500	937
131000	940
131500	959
132000	984
132500	947
133000	1013
133500	1005
134000	993
134500	1051
135000	1083
135500	1038
136000	1073
136500	1140
137000	1092
137500	1112
138000	1176
138500	1184
139000	1212
139500	1263
140000	1212
140500	1322
141000	1282
141500	1303
142000	1274
142500	1371
143000	1335
143500	1381
144000	1294
144500	1404
145000	1438
145500	1508
146000	1486
146500	1484
147000	1501
147500	1561
148000	1546
148500	1601
149000	1668
149500	1651
150000	1699
150500	1797
151000	1811
151500	1764
152000	1844
152500	1888
153000	1895
153500	1940
154000	1971
154500	2034
155000	2024
155500	2032
156000	2133
156500	2112
157000	2242
157500	2210
158000	2259
158500	2335
159000	2383
159500	2400
160000	2455
160500	2452
161000	2453
161500	2451
162000	2530
162500	2687
163000	2682
163500	2792
164000	2726
164500	2750
165000	2796
165500	2823
166000	2816
166500	3002
167000	2932
167500	2941
168000	3135
168500	3091
169000	3125
169500	3196
