# CHIME Latency Histogram - Read
# Bucket size: 500 ns
# Total samples: 21000000
# Format: latency_ns	count
3500	5
4000	428
4500	14983
5000	141085
5500	563451
6000	1250827
6500	1857255
7000	2132680
7500	2087489
8000	1883826
8500	1631064
9000	1380013
9500	1156035
10000	953071
10500	781301
11000	636881
11500	513972
12000	416565
12500	334773
13000	269779
13500	217492
14000	175597
14500	143423
15000	117736
15500	97788
16000	82685
16500	70136
17000	60876
17500	54161
18000	48425
18500	45060
19000	41203
19500	38598
20000	36855
20500	35118
21000	33838
21500	33301
22000	32497
22500	31831
23000	31537
23500	31136
24000	30493
24500	30111
25000	29928
25500	29630
26000	29870
26500	29427
27000	29295
27500	29230
28000	29351
28500	28827
29000	28866
29500	28535
30000	28656
30500	28376
31000	28294
31500	28269
32000	28062
32500	27506
33000	27414
33500	27418
34000	27414
34500	27238
35000	26498
35500	26175
36000	25723
36500	25604
37000	25450
37500	24754
38000	24719
38500	24032
39000	23565
39500	23230
40000	22393
40500	22130
41000	21455
41500	20823
42000	20385
42500	19583
43000	19009
43500	18198
44000	17479
44500	16723
45000	15981
45500	15286
46000	14588
46500	13649
47000	12649
47500	11964
48000	11130
48500	10481
49000	9683
49500	9059
50000	8301
50500	7439
51000	6973
51500	6395
52000	5878
52500	5388
53000	4912
53500	4528
54000	4098
54500	3885
55000	3651
55500	3211
56000	2920
56500	2805
57000	2618
57500	2476
58000	2284
58500	2041
59000	2051
59500	1847
60000	1816
60500	1788
61000	1657
61500	1598
62000	1634
62500	1461
63000	1448
63500	1443
64000	1370
64500	1297
65000	1261
65500	1294
66000	1243
66500	1260
67000	1222
67500	1156
68000	1113
68500	1161
69000	1085
69500	1097
70000	1068
70500	1039
71000	1043
71500	1069
72000	1004
72500	981
73000	989
73500	964
74000	923
74500	927
75000	940
75500	909
76000	935
76500	873
77000	838
77500	879
78000	843
78500	847
79000	885
79500	867
80000	803
80500	788
81000	781
81500	788
82000	767
82500	803
83000	812
83500	706
84000	732
84500	756
85000	729
85500	759
86000	770
86500	730
87000	713
87500	751
88000	714
88500	686
89000	691
89500	709
90000	679
90500	682
91000	746
91500	696
92000	704
92500	682
93000	703
93500	698
94000	717
94500	713
95000	705
95500	656
96000	711
96500	718
97000	683
97500	734
98000	716
98500	686
99000	734
99500	743
100000	700
100500	768
101000	770
101500	792
102000	754
102500	773
103000	722
103500	814
104000	773
104500	802
105000	786
105500	810
106000	840
106500	819
107000	830
107500	838
108000	817
108500	813
109000	899
109500	872
110000	819
110500	861
111000	862
111500	857
112000	840
112500	865
113000	905
113500	857
114000	957
114500	916
115000	904
115500	854
116000	928
116500	864
117000	943
117500	951
118000	973
118500	905
119000	939
119500	961
120000	959
120500	974
121000	1017
121500	997
122000	964
122500	1028
123000	990
123500	1045
124000	990
124500	1014
125000	1023
125500	1010
126000	1006
126500	1020
127000	1024
127500	1038
128000	1030
128500	1026
129000	1097
129500	1009
130000	1022
130500	993
131000	1008
131500	1038
132000	1067
132500	1062
133000	1071
133500	1047
134000	1099
134500	1004
135000	1084
135500	1026
136000	1001
