# CHIME Latency Histogram - Range
# Bucket size: 500 ns
# Total samples: 9000000
# Format: latency_ns	count
40000	2
41500	1
42000	4
42500	2
43500	5
44000	1
44500	5
45000	3
45500	2
46000	4
46500	2
47000	7
47500	5
48000	11
48500	12
49000	11
49500	20
50000	23
50500	17
51000	31
51500	36
52000	30
52500	43
53000	33
53500	38
54000	54
54500	47
55000	58
55500	67
56000	69
56500	82
57000	92
57500	113
58000	96
58500	107
59000	139
59500	137
60000	120
60500	147
61000	174
61500	192
62000	224
62500	221
63000	262
63500	289
64000	257
64500	307
65000	344
65500	321
66000	366
66500	405
67000	466
67500	441
68000	492
68500	508
69000	521
69500	585
70000	610
70500	610
71000	649
71500	719
72000	766
72500	749
73000	869
73500	854
74000	889
74500	1000
75000	1003
75500	1091
76000	1076
76500	1125
77000	1270
77500	1254
78000	1226
78500	1349
79000	1357
79500	1357
80000	1355
80500	1481
81000	1521
81500	1550
82000	1609
82500	1622
83000	1666
83500	1732
84000	1638
84500	1780
85000	1920
85500	1875
86000	1960
86500	1863
87000	1847
87500	1993
88000	2044
88500	2085
89000	2209
89500	2145
90000	2129
90500	2244
91000	2313
91500	2356
92000	2286
92500	2377
93000	2369
93500	2463
94000	2578
94500	2659
95000	2620
95500	2654
96000	2739
96500	2815
97000	2800
97500	2856
98000	2941
98500	2796
99000	2923
99500	3005
100000	3059
100500	3019
101000	3148
101500	3143
102000	3163
102500	3103
103000	3189
103500	3228
104000	3275
104500	3342
105000	3337
105500	3268
106000	3338
106500	3430
107000	3375
107500	3456
108000	3392
108500	3435
109000	3472
109500	3495
110000	3532
110500	3566
111000	3523
111500	3538
112000	3559
112500	3643
113000	3572
113500	3597
114000	3582
114500	3689
115000	3791
115500	3637
116000	3648
116500	3788
117000	3730
117500	3687
118000	3768
118500	3863
119000	3789
119500	3808
120000	3899
120500	3870
121000	3930
121500	3804
122000	3999
122500	3951
123000	3927
123500	4160
124000	4113
124500	4050
125000	4114
125500	4139
126000	4053
126500	4269
127000	4129
127500	4175
128000	4282
128500	4246
129000	4219
129500	4345
130000	4395
130500	4488
131000	4474
131500	4398
132000	4609
132500	4480
133000	4600
133500	4819
134000	4673
134500	4741
135000	4668
135500	4942
136000	4724
136500	4869
137000	4899
137500	4928
138000	4945
138500	4879
139000	5011
139500	5026
140000	5192
140500	5190
141000	5165
141500	5236
142000	5171
142500	5420
143000	5377
143500	5311
144000	5407
144500	5524
145000	5497
145500	5540
146000	5679
146500	5589
147000	5696
147500	5674
148000	5801
148500	5883
149000	5886
149500	5841
150000	6055
150500	6019
151000	6009
151500	6089
152000	6115
152500	6199
153000	6265
153500	6151
154000	6294
154500	6432
155000	6413
155500	6482
156000	6661
156500	6554
157000	6741
157500	6768
158000	6542
158500	6725
159000	6902
159500	6683
160000	7031
160500	6936
161000	7036
161500	7146
162000	7158
162500	7122
163000	7196
163500	7248
164000	7364
164500	7087
165000	7441
165500	7293
166000	7383
166500	7404
167000	7509
167500	7406
168000	7435
168500	7711
169000	7665
169500	7454
170000	7765
170500	7814
171000	7813
171500	7873
172000	7865
172500	7869
173000	7826
173500	7836
174000	7982
174500	7808
175000	8027
175500	7987
176000	8114
176500	8222
177000	7995
177500	8107
178000	8118
178500	8125
179000	8223
179500	8101
180000	8288
180500	8399
181000	8070
181500	8230
182000	8385
182500	8332
183000	8230
183500	8257
184000	8356
184500	8308
185000	8316
185500	8362
186000	8397
186500	8263
187000	8318
187500	8278
188000	8297
188500	8150
189000	8282
189500	8313
190000	8364
190500	8346
191000	8266
191500	8159
192000	8254
192500	8346
193000	8145
193500	8292
194000	8152
194500	8379
195000	8191
195500	8179
196000	8290
196500	8229
197000	8375
197500	8110
198000	7973
198500	8146
199000	8118
199500	8092
200000	8022
200500	8105
201000	7884
201500	7860
202000	7909
202500	7975
203000	7801
203500	7805
204000	7760
204500	7799
205000	7865
205500	7735
206000	7785
206500	7769
207000	7634
207500	7601
208000	7657
208500	7507
209000	7516
209500	7642
210000	7575
210500	7432
211000	7403
211500	7414
212000	7281
212500	7279
213000	7316
213500	7327
214000	7146
214500	7186
215000	7259
215500	7208
216000	7016
216500	7077
217000	6966
217500	6935
218000	6908
218500	7080
219000	6802
219500	6723
220000	6857
220500	6833
221000	6591
221500	6719
222000	6493
222500	6610
223000	6474
223500	6463
224000	6458
224500	6378
225000	6315
225500	6187
226000	6482
226500	6237
227000	6225
227500	6255
228000	6196
228500	5998
229000	6091
229500	5986
230000	6059
230500	5931
