# CHIME Latency Histogram - Read
# Bucket size: 500 ns
# Total samples: 30000000
# Format: latency_ns	count
500	2040
1000	35507
1500	63636
2000	86952
2500	100834
3000	111710
3500	226539
4000	1213708
4500	3162694
5000	4464584
5500	5185645
6000	5488577
6500	4354426
7000	2392695
7500	1028675
8000	483730
8500	313189
9000	236582
9500	184201
10000	143796
10500	113017
11000	91142
11500	74141
12000	59897
12500	49109
13000	40175
13500	33524
14000	28726
14500	24688
15000	21311
15500	18995
16000	16642
16500	14784
17000	13336
17500	12150
18000	10602
18500	9480
19000	8642
19500	7689
20000	6994
20500	6344
21000	5877
21500	5429
22000	4793
22500	4343
23000	3972
23500	3677
24000	3192
24500	2876
25000	2582
25500	2371
26000	2137
26500	1880
27000	1705
27500	1550
28000	1328
28500	1185
29000	1116
29500	1018
30000	849
30500	801
31000	657
31500	644
32000	516
32500	456
33000	403
33500	374
34000	347
34500	325
35000	238
35500	238
36000	196
36500	170
37000	163
37500	132
38000	129
38500	93
39000	130
39500	93
40000	92
40500	55
41000	66
41500	60
42000	44
42500	39
43000	33
43500	34
44000	25
44500	29
45000	20
45500	27
46000	27
46500	24
47000	20
47500	14
48000	15
48500	12
49000	11
49500	4
50000	8
50500	10
51000	8
51500	5
52000	2
52500	4
53000	5
53500	2
54000	3
54500	4
55000	3
55500	2
56000	9
56500	3
57000	3
57500	3
58000	4
59000	2
59500	1
60000	4
60500	3
61000	3
61500	3
62000	2
62500	2
63000	3
63500	1
64000	2
65000	3
65500	2
66500	3
67000	1
67500	3
68000	3
68500	3
69000	2
69500	3
70500	1
71000	1
71500	1
73000	2
74500	1
75000	1
76500	1
77500	1
78000	1
85500	1
87500	2
88500	2
89000	1
90500	4
91000	2
91500	2
92000	1
92500	3
93000	1
93500	4
94500	3
95000	3
95500	1
96000	5
96500	6
97000	5
97500	7
98000	4
98500	5
99000	1
99500	2
100000	5
100500	6
101000	4
101500	3
102000	1
102500	3
103000	2
103500	4
104500	3
105000	4
105500	5
106500	1
107000	1
108000	2
108500	2
109500	2
110500	1
111000	1
111500	1
128500	1
148000	1
183500	1
